Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/audit-log [GET],10,0,5,5.44703009800287,4.271047000656836,7.489627998438664,38761.3,0.3447022111619422,0.0,5,6,6,7,7,7,7,7,7,7,7
GET,/api/equipment [GET],122,1,36,91.34694156526793,29.376504993706476,747.9190890007885,83082.9918032787,4.205366976175695,0.034470221116194216,36,40,50,54,73,630,730,730,750,750,750
POST,/api/equipment [POST],11,1,48,53.99723609033654,41.87441599788144,88.04522600257769,69.18181818181819,0.3791724322781364,0.034470221116194216,48,49,60,60,78,88,88,88,88,88,88
GET,/api/equipment/issues [GET],4,0,28,30.06346500296786,26.724111005023587,35.25194800022291,36520.0,0.13788088446477686,0.0,30,30,35,35,35,35,35,35,35,35,35
GET,/api/events [GET],61,0,28,60.88137218120821,23.59487699868623,702.7847040008055,4504.0,2.1026834880878473,0.0,28,31,35,42,60,86,570,700,700,700,700
GET,/api/members [GET],66,1,32,59.43029809118757,26.32205000554677,732.9932619977626,60370.893939393936,2.2750345936688183,0.034470221116194216,32,34,35,41,49,65,540,730,730,730,730
GET,/api/performance-logs [GET],4,0,25,37.7294002501003,24.56823499960592,73.34755700139794,355.0,0.13788088446477686,0.0,28,28,73,73,73,73,73,73,73,73,73
GET,/api/teams [GET],22,0,28,84.0614844554776,26.471097000467125,700.9222050037351,18727.0,0.7583448645562728,0.0,28,30,30,40,48,540,700,700,700,700,700
GET,/api/tournaments [GET],59,0,32,63.969434525569014,26.724251001724042,732.1201110025868,60659.61016949153,2.033743045855459,0.0,32,34,36,37,67,290,730,730,730,730,730
POST,/api/tournaments [POST],13,0,51,97.77616561656872,41.996124004072044,573.6873470013961,76.0,0.44811287451052484,0.0,51,69,73,81,86,570,570,570,570,570,570
GET,/auth/isAuth [GET],123,0,3,3.018197869953919,1.7668389991740696,11.456004998763092,94.0,4.239837197291889,0.0,3,3,3,3,4,5,7,8,11,11,11
POST,/auth/login,100,65,490.0,592.7156938802364,275.4979590026778,1471.1664389978978,56.5,3.4470221116194217,2.2405643725526243,490,540,730,880,1100,1300,1400,1500,1500,1500,1500
,Aggregated,595,68,33,144.93705677494657,1.7668389991740696,1471.1664389978978,31832.49243697479,20.50978156413556,2.343975035901207,33,42,60,290,520,730,1100,1300,1500,1500,1500
