Method,Name,Error,Occurrences
GET,/api/events [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/events [GET]'),3
GET,/api/equipment [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/equipment [GET]'),6
POST,/api/equipment/issue [POST],HTTPError('500 Server Error: Internal Server Error for url: /api/equipment/issue [POST]'),4
POST,/api/registrations [POST],HTTPError('500 Server Error: Internal Server Error for url: /api/registrations [POST]'),2
POST,/api/registrations [POST],HTTPError('409 Client Error: Conflict for url: /api/registrations [POST]'),91
GET,/api/equipment/issues [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/equipment/issues [GET]'),2
GET,/auth/isAuth [GET],HTTPError('500 Server Error: Internal Server Error for url: /auth/isAuth [GET]'),5
GET,/api/members [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/members [GET]'),2
POST,/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /auth/login'),440
GET,/api/teams [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/teams [GET]'),3
